Ore Name,ItemStack,Item ID,Display Name,Wildcard
alumiteRod,1xitem.tconstruct.ToolRod@15,TConstruct:toolRod,Alumite Tool Rod,false
antiBlock,1xtile.chisel.antiBlock@0,chisel:antiBlock,Anti Block,false
aquaRegia,1xitem.factorization:acid@1,factorization:acid,Aqua Regia,false
arditeRod,1xitem.tconstruct.ToolRod@11,TConstruct:toolRod,Ardite Tool Rod,false
bEnderAirBottle,1xitem.manaResource@15,Botania:manaResource,Ender Air Botte,false
bFlask,1xitem.vial@1,Botania:vial,Alfglass Flask,false
bPlaceholder,1xitem.manaResource@11,Botania:manaResource,Crafting Placeholder,false
bRedString,1xitem.manaResource@12,Botania:manaResource,Red String,false
bVial,1xitem.vial@0,Botania:vial,Managlass Vial,false
barsIron,1xtile.blockDarkIronBars@0,EnderIO:blockDarkIronBars,Dark Iron Bars,false
beeComb,1xitem.for.beeCombs@32767,Forestry:beeCombs,(wildcard),true
beeComb,1xitem.comb@32767,MagicBees:comb,(wildcard),true
beeComb,1xitem.honeyComb@32767,ExtraBees:honeyComb,(wildcard),true
blockAluminium,1xtile.tconstruct.metalblock@6,TConstruct:MetalBlock,Block of Aluminum,false
blockAluminiumBrass,1xtile.tconstruct.metalblock@7,TConstruct:MetalBlock,Block of Aluminum Brass,false
blockAluminum,1xtile.tconstruct.metalblock@6,TConstruct:MetalBlock,Block of Aluminum,false
blockAluminumBrass,1xtile.tconstruct.metalblock@7,TConstruct:MetalBlock,Block of Aluminum Brass,false
blockAlumite,1xtile.tconstruct.metalblock@8,TConstruct:MetalBlock,Block of Alumite,false
blockApatite,1xtile.for.resourceStorage@0,Forestry:resourceStorage,Block of Apatite,false
blockArdite,1xtile.tconstruct.metalblock@1,TConstruct:MetalBlock,Block of Ardite,false
blockBlutonium,1xtile.brMetal.0@3,BigReactors:BRMetalBlock,Blutonium Block,false
blockBronze,1xic2.blockMetal@2,IC2:blockMetal,Bronze Block,false
blockBronze,1xtile.for.resourceStorage@3,Forestry:resourceStorage,Block of Bronze,false
blockBronze,1xtile.thermalfoundation.storage@9,ThermalFoundation:Storage,Tinker's Alloy Block,false
blockBronze,1xtile.tconstruct.metalblock@4,TConstruct:MetalBlock,Block of Bronze,false
blockCarpet,1xtile.chisel.carpet_block@0,chisel:carpet_block,Carpet,false
blockCloth,1xtile.cloth@32767,minecraft:wool,(wildcard),true
blockClothRock,1xtile.thermalexpansion.rockwool@32767,ThermalExpansion:Rockwool,(wildcard),true
blockCoal,1xtile.blockCoal@0,minecraft:coal_block,Block of Coal,false
blockCoal,1xtile.extrautils:color_blockCoal@0,ExtraUtilities:color_blockCoal,Colored Block of Coal (White Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@1,ExtraUtilities:color_blockCoal,Colored Block of Coal (Orange Frequency),false
